"","shares","num_hrefs","num_imgs","num_videos","is_popular"
"174",5000,5,8,0,"1"
"175",11500,34,15,0,"1"
"176",529,9,1,0,"0"
"177",28000,1,0,1,"1"
"178",1700,26,20,0,"1"
"179",761,12,1,0,"0"
"180",958,7,0,0,"0"
"181",904,12,1,0,"0"
"182",1200,9,0,16,"0"
"183",4500,2,1,0,"1"
"184",1200,5,1,0,"0"
"185",427,8,1,0,"0"
"186",1300,5,1,1,"0"
"187",3200,9,1,0,"1"
"188",377,4,1,0,"0"
"189",3400,5,0,0,"1"
"190",972,7,1,0,"0"
"191",979,5,0,21,"0"
"192",737,10,1,0,"0"
"193",3800,23,20,0,"1"
"194",396,45,19,0,"0"
"195",1700,8,1,0,"1"
"196",676,4,1,3,"0"
"197",2900,10,0,0,"1"
"198",2500,6,1,0,"1"
"199",1400,5,0,0,"1"
"200",484,16,11,0,"0"
"201",7500,12,6,0,"1"
"202",441,6,1,0,"0"
"203",922,8,0,0,"0"
"204",473,11,1,0,"0"
"205",3200,4,0,0,"1"
"206",1600,6,1,0,"1"
"207",1300,3,0,21,"0"
"208",1300,27,20,0,"0"
"209",5600,11,1,0,"1"
"210",8100,6,10,0,"1"
"211",5500,6,1,0,"1"
"212",3800,15,10,1,"1"
"213",933,10,1,0,"0"
"214",2500,12,1,0,"1"
"215",1700,12,1,0,"1"
"216",2400,7,1,0,"1"
"217",11400,8,1,0,"1"
"218",308,9,1,0,"0"
"219",1400,38,15,0,"1"
"220",762,4,0,1,"0"
"221",1200,7,1,1,"0"
"222",657,2,0,1,"0"
"223",1200,38,11,3,"0"
"224",11800,14,1,0,"1"
"225",2400,29,20,0,"1"
"226",794,7,0,1,"0"
"227",1500,21,20,0,"1"
"228",1300,5,1,0,"0"
"229",1200,12,1,0,"0"
"230",1900,7,5,0,"1"
"231",1500,3,1,0,"1"
"232",698,3,1,0,"0"
"233",1100,6,0,11,"0"
"234",742,5,1,0,"0"
"235",2000,3,1,0,"1"
"236",1000,19,1,0,"0"
"237",1500,4,1,0,"1"
"238",1200,6,1,0,"0"
"239",751,6,1,11,"0"
"240",775,11,1,0,"0"
"241",569,6,1,0,"0"
"242",3000,6,1,0,"1"
"243",1500,3,1,0,"1"
"244",1100,3,0,1,"0"
"245",979,2,0,1,"0"
"246",802,2,0,1,"0"
"247",2300,23,19,0,"1"
"248",835,19,34,0,"0"
"249",2000,6,1,0,"1"
"250",12000,2,0,1,"1"
"251",423,2,1,1,"0"
"252",1000,2,0,1,"0"
"253",1600,7,1,0,"1"
"254",1400,4,0,21,"1"
"255",2400,13,1,0,"1"
"256",1200,2,0,0,"0"
"257",1500,14,1,0,"1"
"258",1400,2,0,0,"1"
"259",1000,4,1,0,"0"
"260",400,2,1,0,"0"
"261",1700,13,1,0,"1"
"262",3200,4,0,12,"1"
"263",1100,8,1,0,"0"
"264",4400,7,0,0,"1"
"265",1400,4,0,21,"1"
"266",924,7,1,0,"0"
"267",1900,11,1,0,"1"
"268",1300,10,1,0,"0"
"269",1300,53,19,0,"0"
"270",1800,5,1,0,"1"
"271",37400,2,0,0,"1"
"272",18000,4,1,1,"1"
"273",2500,3,13,0,"1"
"274",18200,4,1,0,"1"
"275",924,8,1,0,"0"
"276",730,5,1,0,"0"
"277",3500,13,1,0,"1"
"278",1900,3,1,0,"1"
"279",614,8,1,0,"0"
"280",2900,2,18,0,"1"
"281",1600,24,1,0,"1"
"282",1100,45,1,1,"0"
"283",1100,5,0,0,"0"
"284",2200,10,7,0,"1"
"285",582,3,0,7,"0"
"286",1000,6,0,1,"0"
"287",1700,3,1,0,"1"
"288",720,5,1,0,"0"
"289",19800,1,0,1,"1"
"290",1500,13,1,0,"1"
"291",3000,23,28,0,"1"
"292",2500,22,33,0,"1"
"293",4400,6,0,11,"1"
"294",1400,4,1,0,"1"
"295",1600,11,1,0,"1"
"296",2100,7,1,0,"1"
"297",1100,3,1,0,"0"
"298",2100,21,25,0,"1"
"299",840,4,19,1,"0"
"300",1100,23,20,0,"0"
"301",1600,9,1,0,"1"
"302",2100,8,0,0,"1"
"303",2200,4,1,0,"1"
"304",9000,5,0,0,"1"
"305",622,4,0,11,"0"
"306",1000,3,1,0,"0"
"307",658,16,26,0,"0"
"308",1400,1,0,0,"1"
"309",1500,4,4,0,"1"
"310",2300,3,7,0,"1"
"311",5200,4,1,10,"1"
"312",5300,4,1,0,"1"
"313",1600,9,1,0,"1"
"314",6300,18,11,0,"1"
"315",2000,1,21,0,"1"
"316",2300,4,1,0,"1"
"317",1900,56,1,0,"1"
"318",1700,6,1,0,"1"
"319",1600,12,26,0,"1"
"320",1400,20,1,0,"1"
"321",2100,8,0,0,"1"
"322",3400,21,20,0,"1"
"323",1000,1,0,0,"0"
"324",1800,20,20,0,"1"
"325",25200,14,1,0,"1"
"326",15700,21,19,0,"1"
"327",1700,6,0,0,"1"
"328",2700,5,0,1,"1"
"329",5400,11,11,0,"1"
"330",1300,31,20,0,"0"
"331",3800,26,20,1,"1"
"332",7900,12,1,0,"1"
"333",731,18,1,0,"0"
"334",1900,14,9,0,"1"
"335",3100,16,1,0,"1"
"336",1900,13,11,0,"1"
"337",9700,30,20,0,"1"
"338",3400,4,0,0,"1"
"339",894,3,1,2,"0"
"340",1300,44,16,2,"0"
"341",2100,5,1,0,"1"
"342",12100,13,1,0,"1"
"343",1400,4,1,10,"1"
"344",3700,16,7,0,"1"
"345",2200,11,6,0,"1"
"346",1300,4,1,0,"0"
"347",1600,8,1,0,"1"
"348",1400,7,1,0,"1"
"349",14300,19,6,0,"1"
"350",33100,22,11,0,"1"
"351",3400,41,12,0,"1"
"352",5400,2,0,1,"1"
"353",5600,14,10,0,"1"
"354",618,7,0,0,"0"
"355",2300,2,6,0,"1"
"356",8000,4,18,0,"1"
"357",630,6,1,0,"0"
"358",2900,6,0,1,"1"
"359",5800,3,1,0,"1"
"360",2000,6,1,0,"1"
"361",1900,7,10,0,"1"
"362",909,7,1,0,"0"
"363",705,7,1,0,"0"
"364",2700,10,1,0,"1"
"365",699,7,1,0,"0"
"366",2100,11,1,1,"1"
"367",1900,7,1,0,"1"
"368",636,1,1,0,"0"
"369",432,4,0,1,"0"
"370",3000,9,1,0,"1"
"371",621,9,1,0,"0"
"372",5300,4,0,0,"1"
"373",1600,8,1,0,"1"
"374",1700,6,0,0,"1"
"375",649,5,1,0,"0"
"376",476,3,1,0,"0"
"377",1300,3,0,1,"0"
"378",1900,22,1,0,"1"
"379",1700,13,1,0,"1"
"380",1800,5,1,0,"1"
"381",586,19,1,0,"0"
"382",1100,4,1,0,"0"
"383",992,3,1,0,"0"
"384",950,7,1,1,"0"
"385",903,4,0,1,"0"
"386",1500,5,1,0,"1"
"387",1700,8,12,0,"1"
"388",1600,6,1,0,"1"
"389",1500,20,0,0,"1"
"390",1200,21,16,0,"0"
"391",1300,3,1,1,"0"
"392",1300,10,1,1,"0"
"393",862,3,1,0,"0"
"394",1200,12,1,1,"0"
"395",2600,25,19,0,"1"
"396",4900,8,12,0,"1"
"397",1900,16,27,0,"1"
"398",2700,11,26,0,"1"
"399",1100,17,1,0,"0"
"400",3000,9,1,0,"1"
"401",727,4,0,10,"0"
"402",1100,8,1,0,"0"
"403",498,8,1,0,"0"
"404",1300,6,1,0,"0"
"405",1300,16,13,0,"0"
"406",1400,3,5,0,"1"
"407",884,12,14,1,"0"
"408",1200,3,1,0,"0"
"409",645,30,26,0,"0"
"410",429,2,0,21,"0"
"411",39400,8,1,1,"1"
"412",811,11,1,0,"0"
"413",5200,3,1,0,"1"
"414",756,3,1,0,"0"
"415",498,7,1,0,"0"
"416",2200,70,26,0,"1"
"417",1300,8,0,0,"0"
"418",440,8,0,0,"0"
"419",983,9,1,0,"0"
"420",2800,7,1,0,"1"
"421",1200,5,1,0,"0"
"422",1300,11,42,0,"0"
"423",423,8,1,0,"0"
"424",735,6,0,1,"0"
"425",1100,3,0,2,"0"
"426",718,6,1,0,"0"
"427",1400,28,9,0,"1"
"428",1100,14,11,0,"0"
"429",544,7,0,12,"0"
"430",2400,8,1,0,"1"
"431",6000,13,1,0,"1"
"432",1200,3,1,0,"0"
"433",2300,4,1,0,"1"
"434",581,12,1,0,"0"
"435",6800,9,1,0,"1"
"436",752,7,1,1,"0"
"437",866,11,1,0,"0"
"438",5000,7,0,26,"1"
"439",1200,17,1,0,"0"
"440",3200,5,0,0,"1"
"441",442,11,0,0,"0"
"442",2900,4,1,0,"1"
"443",1100,8,1,0,"0"
"444",2200,3,1,0,"1"
"445",1900,8,0,0,"1"
"446",2400,7,0,1,"1"
"447",730,3,1,2,"0"
"448",5900,12,11,0,"1"
"449",458,11,1,0,"0"
"450",2100,7,1,0,"1"
"451",1600,4,1,0,"1"
"452",462,3,1,0,"0"
"453",2500,3,0,1,"1"
"454",1900,3,1,1,"1"
"455",593,20,9,0,"0"
"456",1300,9,1,0,"0"
"457",5400,5,1,0,"1"
"458",1100,6,1,0,"0"
"459",3800,4,0,1,"1"
"460",725,5,1,0,"0"
"461",787,1,1,0,"0"
"462",8900,5,1,0,"1"
"463",5500,11,1,1,"1"
"464",1900,5,1,0,"1"
"465",463,7,1,1,"0"
"466",368,2,1,0,"0"
"467",1300,5,0,0,"0"
"468",957,5,0,1,"0"
"469",1200,13,11,0,"0"
"470",484,7,1,0,"0"
"471",17100,2,1,0,"1"
"472",2300,3,1,0,"1"
"473",2300,2,10,0,"1"
"474",3100,1,0,1,"1"
"475",2400,8,1,0,"1"
"476",1100,12,1,0,"0"
"477",568,15,1,0,"0"
"478",4200,7,0,0,"1"
"479",2200,4,0,0,"1"
"480",968,6,0,1,"0"
"481",1800,5,1,0,"1"
"482",2000,4,1,0,"1"
"483",768,8,1,0,"0"
"484",635,4,1,0,"0"
"485",1000,4,1,0,"0"
"486",4800,5,17,0,"1"
"487",685,16,1,0,"0"
"488",1500,15,1,9,"1"
"489",6300,24,10,0,"1"
"490",2000,10,0,1,"1"
"491",902,8,1,0,"0"
"492",1200,14,1,0,"0"
"493",1700,4,13,0,"1"
"494",1000,6,0,0,"0"
"495",824,34,20,0,"0"
"496",5100,6,1,2,"1"
"497",2500,13,1,0,"1"
"498",2900,5,0,12,"1"
"499",933,4,1,0,"0"
"500",480,18,15,1,"0"
"501",3200,4,0,0,"1"
"502",1000,6,0,0,"0"
"503",660,5,1,1,"0"
"504",1800,17,1,0,"1"
"505",2600,5,1,0,"1"
"506",757,12,1,0,"0"
"507",1300,11,1,0,"0"
"508",514,18,15,1,"0"
"509",2100,19,1,0,"1"
"510",1200,6,1,0,"0"
"511",1900,2,5,0,"1"
"512",2600,3,16,0,"1"
"513",615,11,1,0,"0"
"514",504,5,0,0,"0"
"515",1300,4,5,0,"0"
"516",1400,6,1,0,"1"
"517",2200,6,1,0,"1"
"518",1300,32,1,0,"0"
"519",1400,2,1,0,"1"
"520",2500,8,1,0,"1"
"521",1500,8,1,0,"1"
"522",416,13,1,0,"0"
"523",900,23,16,1,"0"
"524",529,33,1,0,"0"
"525",354,5,1,0,"0"
"526",483,7,0,0,"0"
"527",575,8,0,0,"0"
"528",1700,3,0,21,"1"
"529",3400,3,0,11,"1"
"530",10400,23,1,0,"1"
"531",2500,9,1,0,"1"
"532",1600,3,1,0,"1"
"533",1200,7,1,0,"0"
"534",2100,11,1,0,"1"
"535",1200,8,1,0,"0"
"536",6400,4,1,0,"1"
"537",17300,9,1,0,"1"
"538",1300,7,1,0,"0"
"539",1400,7,1,0,"1"
"540",2100,28,21,0,"1"
"541",1900,18,9,0,"1"
"542",560,10,1,0,"0"
"543",2900,3,0,0,"1"
"544",1600,16,1,0,"1"
"545",11400,4,0,0,"1"
"546",4500,6,0,0,"1"
"547",782,5,1,0,"0"
"548",1300,10,1,0,"0"
"549",1200,4,0,2,"0"
"550",811,2,0,0,"0"
"551",2200,2,1,0,"1"
"552",4100,3,1,0,"1"
"553",1900,13,1,0,"1"
"554",9100,26,22,0,"1"
"555",1500,3,9,0,"1"
"556",3400,9,1,0,"1"
"557",460,2,0,1,"0"
"558",554,4,0,0,"0"
"559",638,6,0,0,"0"
"560",712,4,1,0,"0"
"561",1500,2,1,0,"1"
"562",2200,7,1,0,"1"
"563",438,8,1,0,"0"
"564",3100,11,1,0,"1"
"565",51900,4,2,1,"1"
"566",935,7,1,0,"0"
"567",832,5,1,0,"0"
"568",804,2,0,0,"0"
"569",3500,4,1,0,"1"
"570",864,5,22,0,"0"
"571",3000,6,0,0,"1"
"572",1200,5,1,0,"0"
"573",847,2,1,0,"0"
"574",917,4,1,0,"0"
"575",1200,28,21,0,"0"
"576",673,5,1,0,"0"
"577",938,11,1,0,"0"
"578",358,5,1,0,"0"
"579",1200,1,0,0,"0"
"580",2100,6,1,0,"1"
"581",672,9,1,6,"0"
"582",2300,6,1,0,"1"
"583",1100,28,11,1,"0"
"584",1100,15,10,1,"0"
"585",1100,8,1,0,"0"
"586",1800,2,1,0,"1"
"587",610,7,1,0,"0"
"588",870,10,1,0,"0"
"589",835,11,1,0,"0"
"590",1200,6,1,0,"0"
"591",2400,4,0,1,"1"
"592",1100,5,1,0,"0"
"593",1300,9,1,0,"0"
"594",793,15,1,0,"0"
"595",3500,16,1,0,"1"
"596",2500,4,1,0,"1"
"597",704,5,13,1,"0"
"598",4800,4,0,0,"1"
"599",12300,11,1,0,"1"
"600",833,29,15,1,"0"
"601",4900,3,11,0,"1"
"602",2900,7,0,0,"1"
"603",844,5,1,0,"0"
"604",744,20,1,1,"0"
"605",1600,14,9,0,"1"
"606",690,3,1,0,"0"
"607",998,14,1,0,"0"
"608",3300,11,1,0,"1"
"609",1100,28,25,1,"0"
"610",1900,8,1,0,"1"
"611",4000,7,0,0,"1"
"612",2500,3,1,0,"1"
"613",5100,4,1,0,"1"
"614",2900,5,1,0,"1"
"615",802,8,0,1,"0"
"616",1400,18,1,0,"1"
"617",4200,13,1,0,"1"
"618",875,9,1,0,"0"
"619",1200,20,1,0,"0"
"620",2000,9,1,0,"1"
"621",5000,16,17,0,"1"
"622",2100,9,1,1,"1"
"623",715,31,9,0,"0"
"624",1700,4,1,0,"1"
"625",801,2,1,0,"0"
"626",4200,14,11,0,"1"
"627",1900,4,0,1,"1"
"628",756,9,1,0,"0"
"629",592,12,13,0,"0"
"630",2600,7,1,0,"1"
"631",1400,14,1,0,"1"
"632",1100,3,1,0,"0"
"633",1100,7,11,0,"0"
"634",2300,3,0,0,"1"
"635",1700,7,1,0,"1"
"636",9100,6,0,0,"1"
"637",5700,28,11,0,"1"
"638",1800,17,1,0,"1"
"639",7200,1,0,0,"1"
"640",671,3,14,0,"0"
"641",2200,1,1,0,"1"
"642",1800,34,11,0,"1"
"643",3500,9,1,1,"1"
"644",2900,7,1,0,"1"
"645",817,6,1,0,"0"
"646",3400,4,0,0,"1"
"647",1600,16,11,0,"1"
"648",771,14,1,0,"0"
"649",15800,3,1,0,"1"
"650",794,4,1,0,"0"
"651",465,12,1,0,"0"
"652",2200,9,1,2,"1"
"653",1700,3,1,0,"1"
"654",577,4,1,14,"0"
"655",17500,26,0,1,"1"
"656",1100,5,1,0,"0"
"657",2200,8,1,0,"1"
"658",536,8,1,0,"0"
"659",1900,6,0,1,"1"
"660",3300,5,8,0,"1"
"661",1300,5,16,0,"0"
"662",5700,14,1,0,"1"
"663",3100,2,0,0,"1"
"664",701,2,0,1,"0"
"665",8000,3,0,0,"1"
"666",3600,14,1,0,"1"
"667",1300,3,1,0,"0"
"668",2900,6,1,0,"1"
"669",1200,9,1,2,"0"
"670",2400,8,1,0,"1"
"671",3700,9,0,0,"1"
"672",1500,3,1,0,"1"
"673",5800,11,1,1,"1"
"674",721,4,1,0,"0"
"675",2700,8,1,0,"1"
"676",1700,5,1,0,"1"
"677",3400,8,1,0,"1"
"678",2200,11,1,0,"1"
"679",1400,2,1,0,"1"
"680",1000,47,20,0,"0"
"681",2100,4,1,0,"1"
"682",1200,6,1,0,"0"
"683",1300,4,0,21,"0"
"684",561,8,1,0,"0"
"685",2200,14,11,1,"1"
"686",715,40,0,0,"0"
"687",2900,8,1,0,"1"
"688",2800,8,1,1,"1"
"689",1800,10,1,0,"1"
"690",930,5,0,1,"0"
"691",1200,15,1,0,"0"
"692",1100,10,0,0,"0"
"693",1500,5,1,0,"1"
"694",1500,15,12,0,"1"
"695",1200,17,5,1,"0"
"696",1800,4,0,1,"1"
"697",1900,8,1,0,"1"
"698",1500,25,12,1,"1"
"699",1200,5,1,0,"0"
"700",2000,7,1,0,"1"
"701",2200,4,1,0,"1"
"702",1200,7,0,0,"0"
"703",1100,2,1,0,"0"
"704",2700,7,10,0,"1"
"705",2600,22,11,0,"1"
"706",1300,13,1,0,"0"
"707",3000,10,8,0,"1"
"708",1900,4,1,0,"1"
"709",7700,1,0,1,"1"
"710",1300,6,1,0,"0"
"711",2300,48,1,0,"1"
"712",3200,14,1,0,"1"
"713",3100,12,1,0,"1"
"714",2400,4,1,0,"1"
"715",3800,4,0,0,"1"
"716",2600,13,0,1,"1"
"717",3500,4,1,0,"1"
"718",2800,67,10,11,"1"
"719",7800,2,0,0,"1"
"720",7800,1,1,0,"1"
"721",2000,6,1,0,"1"
"722",5800,16,11,0,"1"
"723",2200,26,1,0,"1"
"724",9800,5,6,0,"1"
"725",1700,2,1,10,"1"
"726",3900,2,0,1,"1"
"727",4200,3,1,0,"1"
"728",1600,1,0,1,"1"
"729",3500,13,1,0,"1"
"730",2600,13,1,0,"1"
"731",2000,13,6,0,"1"
"732",1600,5,13,0,"1"
"733",17600,5,1,0,"1"
"734",767,7,1,0,"0"
"735",4400,2,12,0,"1"
"736",1300,3,0,2,"0"
"737",2800,13,1,0,"1"
"738",2000,16,6,0,"1"
"739",5700,11,1,0,"1"
"740",2200,28,6,0,"1"
"741",1600,1,0,1,"1"
"742",2100,5,1,0,"1"
"743",1700,38,9,0,"1"
"744",827,5,0,0,"0"
"745",2500,21,1,0,"1"
"746",2500,14,1,0,"1"
"747",764,6,1,0,"0"
"748",1100,7,1,0,"0"
"749",4000,3,1,0,"1"
"750",2900,2,12,1,"1"
"751",1100,1,0,1,"0"
"752",423,19,10,0,"0"
"753",1000,5,0,1,"0"
"754",2100,4,1,0,"1"
"755",2200,8,1,0,"1"
"756",703,3,0,0,"0"
"757",1000,16,0,11,"0"
"758",1900,10,1,0,"1"
"759",863,6,1,0,"0"
"760",1100,3,1,0,"0"
"761",1400,8,17,0,"1"
"762",1900,17,9,0,"1"
"763",3700,8,0,0,"1"
"764",799,5,1,1,"0"
"765",3700,11,1,0,"1"
"766",1600,5,1,0,"1"
"767",2000,7,0,1,"1"
"768",1600,8,1,0,"1"
"769",2100,4,1,0,"1"
"770",1300,9,1,0,"0"
"771",1100,3,1,0,"0"
"772",1800,51,13,0,"1"
"773",3200,47,13,0,"1"
"774",800,0,1,0,"0"
"775",1500,39,12,1,"1"
"776",1100,18,1,0,"0"
"777",900,14,1,0,"0"
"778",1100,15,1,0,"0"
"779",1100,4,0,1,"0"
"780",1600,10,1,0,"1"
"781",1600,4,0,0,"1"
"782",2100,13,1,0,"1"
"783",2700,16,12,0,"1"
"784",950,8,7,0,"0"
"785",1400,7,17,0,"1"
"786",971,11,1,1,"0"
"787",872,16,0,1,"0"
"788",1700,14,1,0,"1"
"789",657,4,0,1,"0"
"790",1100,6,0,0,"0"
"791",2800,3,1,0,"1"
"792",1700,40,1,20,"1"
"793",718,5,0,1,"0"
"794",4500,3,0,0,"1"
"795",1800,4,1,0,"1"
"796",533,6,13,0,"0"
"797",6800,5,1,0,"1"
"798",1200,6,0,1,"0"
"799",2000,14,17,0,"1"
"800",6500,2,1,0,"1"
"801",3100,11,1,0,"1"
"802",987,6,0,1,"0"
"803",6700,9,1,0,"1"
"804",4100,3,14,0,"1"
"805",428,38,12,0,"0"
"806",1500,7,1,0,"1"
"807",1500,14,11,0,"1"
"808",2100,3,1,0,"1"
"809",1500,6,0,2,"1"
"810",936,5,1,0,"0"
"811",1200,3,1,0,"0"
"812",5300,13,1,10,"1"
"813",860,7,0,2,"0"
"814",4600,8,1,1,"1"
"815",925,1,0,1,"0"
"816",11900,4,0,0,"1"
"817",1700,7,1,0,"1"
"818",940,5,1,0,"0"
"819",560,7,1,0,"0"
"820",2600,5,1,1,"1"
"821",1500,7,1,1,"1"
"822",866,3,1,0,"0"
"823",1200,12,1,0,"0"
"824",6000,3,1,0,"1"
"825",1300,2,0,1,"0"
"826",2100,16,1,0,"1"
"827",1400,5,0,1,"1"
"828",583,11,1,0,"0"
"829",1200,6,1,0,"0"
"830",3000,4,1,0,"1"
"831",1100,3,1,0,"0"
"832",6500,2,1,0,"1"
"833",1200,10,1,0,"0"
"834",751,14,1,0,"0"
"835",741,7,1,0,"0"
"836",2100,3,1,0,"1"
"837",1800,15,1,0,"1"
"838",1600,7,1,0,"1"
"839",635,15,1,0,"0"
"840",589,0,0,1,"0"
"841",1100,3,0,1,"0"
"842",473,12,0,20,"0"
"843",1200,31,12,1,"0"
"844",1100,53,13,0,"0"
"845",1500,5,0,0,"1"
"846",1000,4,0,1,"0"
"847",532,3,1,0,"0"
"848",1400,1,0,0,"1"
"849",1100,9,1,0,"0"
"850",510,5,0,17,"0"
"851",342,5,1,0,"0"
"852",1700,3,1,0,"1"
"853",2700,5,1,1,"1"
"854",1900,15,16,0,"1"
"855",22000,4,1,0,"1"
"856",503,6,1,0,"0"
"857",2800,2,1,0,"1"
"858",1100,10,1,0,"0"
"859",522,7,1,1,"0"
"860",1100,3,1,0,"0"
"861",1500,4,0,2,"1"
"862",2000,2,0,0,"1"
"863",1900,14,6,0,"1"
"864",5500,4,0,1,"1"
"865",1200,12,5,0,"0"
"866",4600,6,1,0,"1"
"867",823,3,0,0,"0"
"868",1800,3,1,0,"1"
"869",5600,10,1,0,"1"
"870",2500,10,0,0,"1"
"871",1900,14,1,0,"1"
"872",689,6,1,0,"0"
"873",1100,9,9,0,"0"
"874",3700,4,1,0,"1"
"875",1200,3,1,0,"0"
"876",952,4,0,1,"0"
"877",300,30,1,0,"0"
"878",2600,9,1,3,"1"
"879",1300,9,0,0,"0"
"880",1500,4,1,0,"1"
"881",1900,7,1,0,"1"
"882",1000,7,1,0,"0"
"883",1500,7,1,1,"1"
"884",1000,7,1,1,"0"
"885",1000,3,1,0,"0"
"886",3200,28,16,1,"1"
"887",1200,13,1,9,"0"
