shares,num_hrefs,num_imgs,num_videos,is_popular
1200,20,1,0,0
801,2,1,0,0
592,12,13,0,0
1100,3,1,0,0
671,3,14,0,0
794,4,1,0,0
577,4,1,14,0
536,8,1,0,0
1300,5,16,0,0
701,2,0,1,0
1300,3,1,0,0
1200,9,1,2,0
1000,47,20,0,0
561,8,1,0,0
715,40,0,0,0
930,5,0,1,0
1200,17,5,1,0
1200,7,0,0,0
1100,2,1,0,0
1300,6,1,0,0
767,7,1,0,0
764,6,1,0,0
703,3,0,0,0
1100,3,1,0,0
799,5,1,1,0
1300,9,1,0,0
1100,3,1,0,0
800,0,1,0,0
1100,18,1,0,0
1100,15,1,0,0
950,8,7,0,0
971,11,1,1,0
657,4,0,1,0
718,5,0,1,0
533,6,13,0,0
428,38,12,0,0
1200,3,1,0,0
925,1,0,1,0
560,7,1,0,0
583,11,1,0,0
1200,6,1,0,0
1200,10,1,0,0
589,0,0,1,0
1100,3,0,1,0
473,12,0,20,0
1000,4,0,1,0
1100,9,1,0,0
510,5,0,17,0
342,5,1,0,0
503,6,1,0,0
1100,10,1,0,0
522,7,1,1,0
1100,3,1,0,0
1200,12,5,0,0
823,3,0,0,0
689,6,1,0,0
1100,9,9,0,0
1200,3,1,0,0
952,4,0,1,0
300,30,1,0,0
1000,7,1,0,0
1000,7,1,1,0
1200,13,1,9,0
956,29,25,1,0
1000,11,1,0,0
915,7,1,1,0
864,7,1,0,0
548,2,1,0,0
1100,8,13,0,0
508,2,1,0,0
909,12,1,0,0
999,10,1,1,0
603,5,1,0,0
957,15,1,0,0
1200,14,1,0,0
1000,5,1,1,0
371,16,10,1,0
799,12,1,0,0
837,2,1,0,0
1200,14,1,0,0
1200,5,1,1,0
1100,12,1,0,0
730,12,0,1,0
581,2,0,1,0
775,1,1,0,0
1100,8,0,1,0
555,5,1,0,0
1000,4,0,0,0
1300,22,1,0,0
949,15,6,0,0
405,8,0,3,0
785,10,1,0,0
515,7,0,1,0
537,7,1,0,0
668,19,11,0,0
471,7,0,1,0
998,3,0,1,0
400,3,1,0,0
1200,7,1,0,0
1300,8,18,0,0
1300,9,17,0,0
1200,2,0,0,0
1200,3,0,11,0
606,8,0,1,0
735,3,0,1,0
763,8,1,0,0
532,14,1,0,0
811,2,0,1,0
942,4,1,0,0
731,4,0,0,0
928,11,1,0,0
856,4,1,0,0
1100,6,1,0,0
1100,4,1,0,0
1200,4,1,0,0
538,2,1,0,0
1100,15,1,0,0
535,5,1,0,0
1300,10,1,2,0
1200,12,0,10,0
705,12,1,1,0
1300,3,6,0,0
1300,32,30,0,0
1300,36,1,0,0
1100,3,0,0,0
1100,4,0,0,0
1300,11,1,0,0
776,9,0,0,0
1200,10,0,0,0
742,6,0,11,0
469,3,9,0,0
1200,11,1,0,0
1000,8,6,0,0
506,7,1,0,0
1100,6,1,0,0
1200,1,1,0,0
874,10,1,0,0
583,17,14,0,0
1300,6,0,0,0
688,24,10,0,0
1200,3,1,13,0
559,4,0,7,0
953,4,0,0,0
706,11,1,1,0
673,8,1,0,0
672,3,1,0,0
1200,16,1,0,0
578,3,0,26,0
1200,5,13,0,0
441,5,1,0,0
969,5,1,0,0
1000,7,1,0,0
577,9,1,1,0
510,3,1,0,0
790,6,0,0,0
769,18,1,0,0
559,3,1,0,0
1300,5,1,1,0
1100,4,8,0,0
467,10,1,2,0
686,6,6,0,0
990,6,0,0,0
717,8,14,0,0
779,4,0,1,0
534,5,11,0,0
1100,4,1,0,0
1300,0,0,0,0
1100,2,1,0,0
1100,11,9,0,0
531,6,0,0,0
691,7,1,0,0
1200,2,13,0,0
649,3,1,1,0
651,10,1,0,0
436,2,1,0,0
659,7,1,0,0
839,2,1,1,0
1200,12,0,0,0
1100,3,13,0,0
1100,7,0,0,0
990,6,0,0,0
1200,0,0,0,0
998,2,1,0,0
707,7,1,0,0
1200,11,1,0,0
1200,2,10,0,0
1300,4,0,0,0
373,5,1,1,0
745,4,1,0,0
984,7,1,0,0
1000,4,0,1,0
909,12,11,0,0
1200,21,20,0,0
428,13,1,0,0
1200,3,1,0,0
884,3,1,0,0
511,2,1,0,0
646,6,1,0,0
866,6,13,0,0
949,6,0,26,0
478,5,1,0,0
1000,8,10,0,0
998,6,1,0,0
857,15,9,0,0
593,3,0,0,0
1100,1,5,0,0
687,3,1,0,0
1000,8,14,0,0
693,4,1,0,0
919,11,1,0,0
790,10,0,0,0
853,30,10,1,0
825,3,1,0,0
1000,14,11,0,0
657,6,1,0,0
594,5,1,0,0
676,5,1,0,0
991,5,1,0,0
1100,25,14,2,0
1100,0,12,0,0
444,1,0,1,0
1100,7,1,0,0
728,5,1,0,0
828,7,1,0,0
326,1,1,0,0
1200,6,1,10,0
1300,23,0,0,0
1200,12,1,7,0
1200,6,1,0,0
518,4,1,2,0
1100,8,1,0,0
835,2,1,0,0
1200,5,1,2,0
676,9,1,0,0
681,1,0,11,0
832,6,0,11,0
1000,5,1,8,0
1100,30,1,0,0
697,3,0,0,0
1200,20,0,15,0
1200,11,1,14,0
1100,10,1,0,0
1100,11,6,0,0
1300,4,0,1,0
786,2,1,0,0
550,7,1,15,0
1200,6,0,1,0
498,15,1,10,0
1300,19,0,14,0
900,32,30,0,0
992,1,1,6,0
1200,14,10,0,0
963,6,0,20,0
710,4,0,1,0
1300,9,0,2,0
1100,6,1,0,0
644,4,1,0,0
1300,11,1,0,0
691,4,1,0,0
933,8,1,0,0
609,12,1,0,0
1100,6,0,1,0
742,0,1,0,0
1100,27,11,0,0
1300,5,0,75,0
1300,3,0,1,0
564,3,1,0,0
895,7,1,0,0
494,4,21,0,0
496,5,1,0,0
544,10,1,0,0
527,16,0,11,0
828,8,1,1,0
401,4,1,0,0
583,6,1,0,0
482,15,0,11,0
914,5,0,0,0
1300,45,1,0,0
823,13,11,1,0
889,4,1,0,0
701,30,1,1,0
1300,3,0,1,0
954,3,1,0,0
696,18,11,0,0
1000,5,0,0,0
1300,5,1,0,0
757,6,1,73,0
1200,5,1,1,0
795,10,0,0,0
712,7,1,0,0
1200,12,0,1,0
504,4,0,1,0
475,10,1,0,0
956,7,0,0,0
1300,2,1,0,0
1100,9,21,0,0
1000,6,0,0,0
348,5,27,0,0
1000,6,1,0,0
766,3,0,0,0
797,4,0,1,0
1100,6,0,1,0
742,6,21,0,0
1100,3,0,1,0
850,5,1,0,0
643,4,1,0,0
881,14,1,0,0
635,4,1,0,0
1300,10,5,1,0
574,5,1,0,0
544,8,0,1,0
434,3,0,26,0
886,5,1,1,0
303,12,8,0,0
951,8,1,0,0
827,3,1,0,0
424,6,0,7,0
356,6,1,0,0
919,4,11,0,0
984,4,1,0,0
1100,17,1,0,0
967,9,0,0,0
989,4,0,0,0
1100,24,1,0,0
1300,5,0,1,0
654,5,1,0,0
1300,4,17,0,0
1100,5,0,21,0
655,39,1,0,0
790,43,1,0,0
1100,6,1,0,0
533,3,1,2,0
1200,1,0,7,0
1200,3,0,0,0
898,29,24,1,0
1200,3,0,0,0
902,25,8,0,0
736,3,1,0,0
382,7,0,0,0
1200,8,20,1,0
1200,9,1,0,0
1000,4,0,0,0
1200,4,0,34,0
1000,2,1,0,0
1200,8,1,0,0
1000,16,1,0,0
1300,6,0,1,0
640,2,1,0,0
1300,7,1,0,0
737,4,1,1,0
1000,8,1,0,0
1100,13,1,0,0
572,3,0,21,0
1200,19,20,0,0
992,9,1,0,0
1000,9,1,0,0
1100,5,0,0,0
419,7,0,2,0
700,3,1,0,0
983,14,1,3,0
522,5,13,0,0
671,6,1,0,0
1000,3,1,0,0
1100,5,1,0,0
1000,23,1,1,0
505,4,1,1,0
914,9,1,1,0
597,4,0,12,0
412,3,1,0,0
762,4,1,0,0
696,2,1,0,0
626,6,1,0,0
596,6,1,0,0
1200,1,1,0,0
402,8,1,0,0
1100,1,1,0,0
915,11,1,0,0
1100,4,1,0,0
855,30,10,1,0
492,2,0,26,0
556,0,0,0,0
741,35,12,0,0
538,0,1,0,0
822,1,23,0,0
1300,1,0,0,0
816,28,25,1,0
596,8,6,0,0
1300,14,11,0,0
869,25,15,0,0
612,5,1,0,0
1200,5,1,0,0
746,2,1,0,0
850,3,1,0,0
840,5,0,0,0
539,15,1,1,0
1200,17,1,0,0
858,7,1,1,0
786,23,11,0,0
436,5,24,12,0
477,6,1,0,0
1000,6,0,1,0
564,3,0,12,0
736,2,1,0,0
923,1,1,1,0
889,6,1,0,0
545,6,1,0,0
742,9,0,1,0
1100,16,1,0,0
678,3,1,1,0
1000,5,0,1,0
1200,4,1,0,0
1100,7,1,0,0
840,12,1,0,0
639,5,0,19,0
664,5,19,0,0
717,8,1,0,0
807,3,1,0,0
1100,6,0,1,0
822,5,1,0,0
1000,24,10,1,0
774,11,0,1,0
1000,37,11,0,0
336,6,0,1,0
1200,4,1,0,0
608,3,0,1,0
375,6,0,0,0
880,5,1,0,0
972,2,0,1,0
1000,12,1,0,0
937,8,1,0,0
969,5,0,0,0
725,4,1,0,0
438,14,1,10,0
354,2,0,1,0
1100,10,1,0,0
591,10,0,0,0
723,19,11,0,0
877,8,1,0,0
1100,2,0,0,0
764,3,0,2,0
934,20,20,0,0
638,4,1,0,0
1300,4,0,0,0
594,9,1,0,0
623,9,1,0,0
469,6,1,0,0
859,14,1,0,0
1200,12,0,1,0
1000,18,8,0,0
1300,8,1,0,0
933,6,6,0,0
837,11,6,0,0
1200,34,30,0,0
1200,12,1,5,0
887,4,0,0,0
972,26,7,8,0
856,16,1,10,0
1200,4,1,0,0
899,7,1,1,0
989,6,0,18,0
1300,9,1,0,0
727,5,1,0,0
1100,9,1,0,0
685,14,0,0,0
1300,15,1,0,0
591,4,0,21,0
656,1,1,1,0
1300,8,1,0,0
1300,5,1,0,0
856,6,1,0,0
681,5,0,0,0
1200,5,0,0,0
896,7,1,0,0
705,6,1,0,0
670,20,11,0,0
858,8,1,0,0
726,17,11,0,0
557,2,0,1,0
416,0,1,0,0
1100,7,1,0,0
462,4,1,0,0
786,3,0,0,0
991,10,0,1,0
670,4,1,0,0
451,5,10,0,0
726,7,0,21,0
960,1,1,0,0
1100,4,1,0,0
450,4,1,0,0
836,13,10,1,0
1300,5,1,0,0
1200,9,11,0,0
589,14,1,10,0
599,53,31,0,0
1200,5,0,1,0
1300,8,1,0,0
1000,7,1,0,0
642,6,15,1,0
907,3,0,11,0
1300,5,0,34,0
456,9,0,0,0
527,15,8,0,0
606,2,0,1,0
916,5,7,0,0
678,18,0,11,0
645,16,6,0,0
607,4,0,0,0
558,5,0,0,0
1100,6,1,0,0
1200,4,1,0,0
511,4,0,0,0
537,4,1,0,0
482,25,11,0,0
1000,2,0,1,0
612,3,15,0,0
1200,6,0,1,0
602,3,1,0,0
1100,6,9,1,0
1200,15,1,0,0
1100,5,1,0,0
1200,6,10,1,0
1300,22,0,0,0
1000,8,0,1,0
825,17,1,0,0
698,3,1,0,0
1300,12,1,0,0
716,7,1,0,0
916,29,11,0,0
1000,4,10,1,0
888,8,9,0,0
1100,7,0,0,0
1200,19,11,0,0
1100,12,6,0,0
1200,1,0,0,0
1100,38,15,0,0
1100,3,0,1,0
765,6,0,0,0
728,19,0,8,0
485,6,0,1,0
849,4,0,1,0
1100,4,6,1,0
429,6,0,1,0
494,4,0,1,0
1200,22,11,0,0
1300,4,15,0,0
1300,14,0,0,0
952,11,1,0,0
1300,12,1,4,0
816,1,0,2,0
812,7,15,0,0
1100,5,1,0,0
1300,9,1,13,0
410,4,14,1,0
1200,5,1,1,0
842,9,1,0,0
492,4,1,0,0
981,5,0,1,0
604,3,0,1,0
547,2,10,1,0
416,11,1,0,0
753,6,0,0,0
902,2,0,1,0
1100,15,11,0,0
1300,6,0,1,0
1300,29,1,10,0
754,2,0,1,0
768,5,0,1,0
1000,26,1,0,0
1100,9,22,0,0
1100,4,1,0,0
786,3,1,1,0
451,3,1,0,0
1200,6,1,0,0
1100,14,1,0,0
1100,4,1,1,0
1200,2,1,0,0
674,5,1,0,0
765,4,0,0,0
736,14,6,0,0
708,25,14,0,0
1300,5,0,0,0
1100,10,1,3,0
1300,20,1,0,0
704,5,0,21,0
1100,1,1,0,0
574,14,1,0,0
1300,2,1,0,0
909,1,1,0,0
948,12,1,0,0
626,7,1,0,0
912,5,6,1,0
1300,19,7,0,0
1200,4,1,1,0
937,5,1,0,0
880,2,0,1,0
707,9,0,1,0
1000,8,0,0,0
656,20,13,0,0
492,16,1,0,0
890,6,1,0,0
977,7,1,0,0
1100,8,1,0,0
923,4,1,0,0
1200,13,1,0,0
612,2,1,0,0
947,13,0,1,0
630,3,37,0,0
1100,8,0,0,0
675,6,0,0,0
926,1,0,1,0
1100,5,1,0,0
845,12,26,1,0
719,1,0,1,0
541,4,0,1,0
855,6,0,1,0
1300,7,11,0,0
838,4,1,0,0
1100,4,1,0,0
1200,13,1,0,0
1100,2,0,1,0
679,4,0,0,0
805,3,1,1,0
676,18,1,0,0
1300,12,7,0,0
1300,22,11,0,0
1200,0,0,0,0
858,10,1,0,0
672,8,1,0,0
608,4,1,0,0
1100,6,1,0,0
531,4,1,0,0
966,21,0,0,0
620,9,0,1,0
766,6,1,0,0
944,3,0,1,0
1100,12,1,0,0
798,8,0,1,0
379,54,25,1,0
856,36,26,0,0
902,6,1,0,0
384,4,0,1,0
783,9,1,0,0
1200,60,27,1,0
1000,1,1,0,0
634,7,1,1,0
1100,6,1,15,0
972,13,1,0,0
790,0,0,1,0
994,4,0,0,0
1100,7,11,0,0
880,6,1,0,0
1100,24,13,0,0
1000,8,1,0,0
860,5,0,11,0
1200,8,0,17,0
1300,9,1,0,0
1000,3,1,0,0
1000,8,1,0,0
1200,16,1,0,0
1200,9,1,0,0
840,4,1,0,0
1300,11,1,0,0
1200,9,1,0,0
1000,3,1,0,0
1000,3,0,1,0
956,13,1,0,0
838,9,1,0,0
897,4,1,0,0
801,23,11,0,0
1100,2,39,0,0
1300,1,1,0,0
1300,8,1,0,0
1100,8,1,0,0
1100,4,0,1,0
1000,5,0,74,0
1000,4,1,0,0
1000,6,1,0,0
1300,21,8,0,0
949,33,25,0,0
1300,25,9,0,0
973,6,1,0,0
997,29,0,11,0
1200,6,1,1,0
1000,8,26,0,0
1100,9,1,1,0
976,15,14,0,0
1100,3,0,0,0
780,3,14,1,0
1300,13,1,0,0
1300,15,25,1,0
1300,3,1,0,0
935,2,0,0,0
1100,21,9,0,0
1100,12,0,1,0
1000,10,0,13,0
864,7,1,0,0
709,5,0,26,0
965,5,0,16,0
980,11,1,0,0
1100,6,0,21,0
1000,3,1,0,0
802,4,0,0,0
1100,2,1,0,0
1300,15,6,0,0
757,28,15,0,0
838,11,1,1,0
1000,3,0,1,0
597,4,1,1,0
674,6,1,0,0
1100,5,1,0,0
922,7,0,1,0
720,12,1,0,0
1100,3,1,0,0
979,3,1,1,0
906,5,0,26,0
912,3,7,0,0
816,11,0,1,0
800,2,1,0,0
1200,5,1,0,0
1300,5,0,0,0
1100,7,0,0,0
1300,11,1,1,0
1200,6,0,11,0
929,29,1,0,0
973,5,0,26,0
983,8,1,0,0
1300,6,26,0,0
496,3,1,0,0
1200,8,26,0,0
1300,20,26,1,0
1200,5,1,0,0
1100,7,0,0,0
944,3,0,2,0
792,7,1,0,0
907,4,0,0,0
1300,15,5,1,0
1300,2,0,1,0
1100,6,1,0,0
1300,8,1,0,0
1000,10,0,16,0
851,19,0,0,0
1300,5,1,14,0
1000,4,1,0,0
635,8,1,0,0
1000,10,1,0,0
956,6,1,0,0
751,7,0,11,0
833,10,1,0,0
836,16,1,0,0
1100,8,1,0,0
930,1,16,0,0
976,42,20,1,0
1200,11,1,0,0
1000,6,11,0,0
1300,8,1,0,0
1200,5,1,0,0
862,28,17,1,0
802,8,0,21,0
911,1,0,1,0
818,10,1,0,0
1000,3,10,1,0
1300,33,1,20,0
985,19,1,0,0
1100,6,1,0,0
846,5,1,0,0
539,3,0,1,0
929,5,1,0,0
1300,5,1,0,0
1300,10,1,0,0
1300,19,1,0,0
1200,3,1,10,0
1200,11,1,0,0
943,20,9,1,0
1100,7,0,0,0
1300,23,1,0,0
1100,12,1,0,0
889,11,0,2,0
1100,1,1,0,0
784,25,11,0,0
701,5,0,0,0
774,11,1,0,0
650,12,8,1,0
1200,13,1,0,0
1300,4,1,0,0
1100,17,0,11,0
1200,7,1,0,0
859,6,1,0,0
689,7,1,0,0
695,7,1,0,0
983,7,1,0,0
1200,9,1,17,0
959,6,1,0,0
1200,5,1,0,0
1000,7,1,0,0
1000,32,28,0,0
1100,5,0,1,0
939,49,31,0,0
1100,19,17,0,0
1300,2,1,0,0
1000,7,1,0,0
1000,26,12,0,0
1300,7,1,0,0
824,5,0,1,0
873,14,1,0,0
1100,1,1,0,0
936,5,14,0,0
690,7,0,1,0
1300,4,11,0,0
985,14,1,0,0
701,10,1,0,0
887,6,0,0,0
1200,10,15,1,0
954,4,1,0,0
867,20,17,1,0
574,19,1,0,0
1200,46,31,0,0
1200,4,1,0,0
1200,5,1,1,0
1100,10,1,0,0
940,14,1,0,0
1300,19,15,0,0
1200,6,1,0,0
1300,7,0,0,0
839,3,0,1,0
1200,19,1,0,0
1300,5,0,0,0
1000,4,0,21,0
1200,8,1,1,0
1300,1,0,1,0
1300,23,11,0,0
1000,13,1,0,0
1300,1,6,0,0
1100,2,0,0,0
1100,0,0,0,0
934,5,1,0,0
845,4,1,14,0
1100,3,1,0,0
1300,14,1,0,0
984,16,7,0,0
1200,5,0,26,0
947,5,1,4,0
1200,21,0,0,0
1300,5,7,1,0
919,2,11,0,0
838,4,1,0,0
1100,14,9,0,0
1000,6,8,0,0
645,5,0,0,0
1100,5,10,0,0
1300,7,1,1,0
1200,3,0,0,0
994,10,1,0,0
1000,41,30,1,0
1100,4,1,0,0
1200,8,1,0,0
964,4,1,0,0
1200,7,1,0,0
1200,5,0,1,0
794,1,0,2,0
1200,2,1,0,0
985,5,0,1,0
930,5,1,0,0
974,12,15,1,0
1300,21,16,1,0
1000,6,1,0,0
809,9,1,0,0
861,18,10,1,0
1100,5,10,0,0
1100,8,0,0,0
772,7,1,0,0
1100,4,0,21,0
1200,6,1,0,0
1100,41,31,0,0
1100,4,1,0,0
918,6,1,0,0
728,5,0,0,0
1200,7,0,1,0
1200,6,1,0,0
1200,14,9,0,0
1000,14,1,0,0
899,5,0,21,0
1200,6,1,0,0
1100,4,7,0,0
825,4,0,1,0
1100,5,1,0,0
1300,0,0,0,0
894,2,1,0,0
1100,3,0,1,0
852,4,0,11,0
868,5,0,0,0
868,4,0,11,0
935,7,1,0,0
1200,4,0,0,0
1200,11,1,0,0
1200,6,1,0,0
1100,15,6,0,0
1300,6,0,0,0
1200,6,1,0,0
1300,9,1,0,0
1200,25,1,9,0
1100,31,1,10,0
949,5,1,0,0
1200,6,61,3,0
1000,9,0,1,0
934,8,1,0,0
805,17,11,0,0
913,7,7,0,0
955,5,61,0,0
1300,17,1,1,0
1200,16,8,0,0
1100,3,61,1,0
1100,2,0,12,0
1000,7,1,0,0
1200,4,1,0,0
4,0,0,0,0
1300,22,11,0,0
1100,4,0,0,0
998,39,1,0,0
1000,6,1,0,0
1100,6,1,0,0
909,3,0,1,0
1200,9,0,0,0
768,3,0,11,0
970,11,7,1,0
1100,6,1,0,0
1300,3,1,0,0
781,7,1,0,0
1200,22,0,1,0
1100,4,0,1,0
890,4,0,1,0
760,5,1,0,0
1300,8,1,0,0
1200,26,13,0,0
1000,5,0,0,0
1300,10,1,0,0
1200,2,1,0,0
1300,3,0,0,0
1100,7,1,0,0
1300,10,1,1,0
1300,9,1,0,0
1300,4,1,0,0
1100,5,1,1,0
1300,5,0,0,0
791,34,61,0,0
946,6,1,0,0
722,6,0,2,0
1100,7,1,0,0
956,4,1,0,0
1200,7,1,0,0
1300,9,1,0,0
998,32,16,0,0
1100,11,1,0,0
1300,5,1,0,0
891,1,0,2,0
1100,9,1,0,0
964,14,1,0,0
979,5,16,1,0
797,3,1,0,0
1300,8,16,0,0
1200,4,1,0,0
1200,10,1,0,0
1100,9,1,0,0
659,8,1,0,0
840,43,10,0,0
750,7,0,1,0
903,5,1,0,0
871,12,1,0,0
1300,10,1,0,0
1200,3,0,1,0
1200,2,0,1,0
1200,15,1,1,0
1300,3,1,10,0
1200,4,0,0,0
1100,8,20,0,0
1300,15,1,0,0
1300,5,1,0,0
949,4,1,0,0
852,9,1,0,0
798,6,1,0,0
1200,4,1,13,0
570,3,1,0,0
1200,3,1,0,0
782,25,12,0,0
1200,9,0,0,0
970,14,1,11,0
1000,3,1,0,0
1300,9,1,0,0
831,6,1,0,0
865,5,1,0,0
1200,19,1,1,0
924,12,11,0,0
1000,4,1,0,0
1200,5,1,0,0
903,5,11,0,0
1100,10,1,0,0
576,61,1,0,0
1300,8,14,0,0
1200,18,1,0,0
1000,10,1,0,0
891,14,1,0,0
1200,47,19,0,0
1300,5,0,21,0
839,5,1,10,0
1300,6,1,9,0
935,2,1,0,0
961,7,0,0,0
1200,2,1,0,0
979,5,15,0,0
1000,10,1,0,0
944,14,9,1,0
1300,16,11,0,0
1100,12,1,0,0
1300,25,9,0,0
1200,4,1,0,0
730,13,1,0,0
994,13,1,0,0
1200,15,8,0,0
1100,6,1,0,0
699,10,1,0,0
1100,5,1,0,0
1200,18,9,0,0
1000,21,16,1,0
1100,6,1,0,0
942,7,1,0,0
882,5,0,11,0
1100,4,1,0,0
1200,10,1,0,0
1300,3,0,1,0
905,4,1,0,0
849,11,1,0,0
1100,13,1,0,0
1100,5,1,0,0
1200,7,1,0,0
1000,3,1,10,0
1100,3,1,15,0
1200,5,23,0,0
1300,4,1,1,0
871,3,17,1,0
802,3,0,1,0
1300,13,1,0,0
490,5,1,1,0
1200,1,0,1,0
1100,8,1,1,0
1000,15,1,1,0
1200,3,0,0,0
1100,9,0,0,0
998,6,10,1,0
620,12,15,1,0
683,2,1,0,0
791,4,15,1,0
961,3,1,0,0
1100,6,1,0,0
872,7,1,0,0
1200,5,16,0,0
1200,4,1,0,0
704,2,1,0,0
1300,6,1,0,0
1300,9,10,0,0
967,10,1,0,0
1300,2,1,0,0
631,4,0,0,0
1300,9,1,0,0
1200,5,0,0,0
1300,6,1,0,0
900,4,1,0,0
730,5,1,0,0
1300,9,1,0,0
1100,6,1,0,0
891,5,1,1,0
916,10,1,0,0
1200,9,1,0,0
1100,10,1,0,0
1200,7,1,0,0
1100,6,1,1,0
800,1,0,2,0
1200,2,1,0,0
649,2,1,0,0
964,4,1,0,0
940,10,1,0,0
741,9,1,0,0
1100,5,0,26,0
950,13,7,1,0
1300,6,1,0,0
1100,18,1,0,0
896,28,24,0,0
1200,3,1,0,0
784,4,1,0,0
897,12,1,0,0
970,5,1,0,0
1100,11,1,0,0
618,1,1,0,0
952,9,1,0,0
1100,0,1,0,0
1100,4,0,1,0
971,5,1,0,0
1300,13,19,0,0
1200,2,1,0,0
1300,0,1,0,0
1300,24,1,0,0
1200,9,1,0,0
1100,8,1,0,0
710,4,1,0,0
850,8,1,0,0
1100,4,0,1,0
1200,8,1,0,0
1300,9,1,0,0
1200,10,1,0,0
1200,11,1,1,0
1100,5,1,0,0
1100,3,0,0,0
806,18,1,0,0
1200,4,1,0,0
932,2,1,0,0
817,3,1,0,0
1100,42,9,0,0
937,5,12,0,0
1100,6,1,0,0
918,7,1,0,0
1300,0,1,0,0
825,22,20,1,0
1200,10,1,0,0
1200,8,1,0,0
1000,6,0,0,0
1300,4,1,0,0
1000,7,1,1,0
1300,4,1,0,0
1300,2,1,0,0
882,9,1,0,0
1100,2,0,1,0
602,10,1,0,0
959,5,1,0,0
1200,5,1,0,0
1300,3,1,0,0
1100,6,0,1,0
814,4,15,0,0
973,8,1,0,0
986,6,0,26,0
887,10,1,0,0
1100,6,1,0,0
1200,7,1,0,0
1100,21,0,0,0
943,6,0,0,0
1200,8,1,0,0
1000,5,1,0,0
1200,9,1,0,0
1300,5,1,0,0
597,9,1,0,0
979,2,1,0,0
